codigo_reserva,nif_cliente,balcao,hora
212,640285072,LTN,2025-02-13 13:00:00
213,342819807,AMS,2025-01-02 14:00:00
214,911434347,LTN,2025-01-09 00:00:00
215,978190071,LTN,2025-01-27 11:00:00
216,218992642,LHR,2025-02-01 06:00:00
217,734680177,ORY,2025-02-02 19:00:00
218,270569281,LHR,2025-02-19 13:00:00
219,180107835,FCO,2025-02-10 13:00:00
220,947627254,ORY,2025-02-24 02:00:00
221,306321282,LHR,2025-01-30 05:00:00
222,479956169,LIS,2025-01-14 08:00:00
223,208846722,CDG,2025-01-16 08:00:00
224,102966677,FRA,2025-01-29 01:00:00
225,944800958,LHR,2025-01-12 19:00:00
226,400510688,MXP,2025-02-09 01:00:00
227,462142090,LGW,2025-02-27 20:00:00
228,714326031,FCO,2025-01-13 10:00:00
229,873149735,LTN,2025-01-25 19:00:00
230,472251813,FCO,2025-01-18 06:00:00
231,822728850,LIS,2025-01-26 20:00:00
232,360024241,FRA,2025-02-11 13:00:00
233,658053024,FCO,2025-02-24 16:00:00
234,422569369,FCO,2025-01-07 23:00:00
235,983139119,ORY,2025-01-12 03:00:00
236,644669610,LGW,2025-01-27 18:00:00
237,794130351,LHR,2025-01-17 11:00:00
238,128274864,LTN,2025-02-27 09:00:00
239,991881590,ORY,2025-02-08 10:00:00
240,456600089,ORY,2025-01-22 23:00:00
241,368493468,AMS,2025-01-24 00:00:00
242,660544076,AMS,2025-02-22 17:00:00
243,999291269,CDG,2025-01-31 20:00:00
244,569618764,FRA,2025-02-14 20:00:00
245,744228094,LTN,2025-02-07 23:00:00
246,684178849,FCO,2025-01-31 01:00:00
247,417384071,LHR,2025-01-17 19:00:00
248,163749336,LTN,2025-02-18 22:00:00
249,619135957,FCO,2025-01-23 05:00:00
250,516384427,FRA,2025-01-20 05:00:00
251,663091076,LIS,2025-02-10 22:00:00
252,716334893,AMS,2025-02-12 13:00:00
253,280441817,FRA,2025-01-05 14:00:00
254,731918107,AMS,2025-02-02 14:00:00
255,131483143,CDG,2025-01-18 14:00:00
256,704088235,LGW,2025-02-23 10:00:00
257,180160303,LHR,2025-02-03 15:00:00
258,182913602,LIS,2025-02-02 01:00:00
259,147394833,AMS,2025-02-13 02:00:00
260,604594430,LGW,2025-02-11 05:00:00
261,101501361,AMS,2025-01-01 20:00:00
262,390329300,AMS,2025-02-26 07:00:00
263,642617453,ORY,2025-01-13 10:00:00
264,576144988,ORY,2025-01-22 19:00:00
265,222487909,LGW,2025-02-07 03:00:00
266,288828585,LIS,2025-02-21 07:00:00
267,850583254,LIS,2025-03-01 03:00:00
268,709891832,LIS,2025-02-09 09:00:00
269,172676912,AMS,2025-02-25 09:00:00
270,117077363,ORY,2025-02-27 00:00:00
271,510228652,MXP,2025-03-02 06:00:00
272,984415167,FRA,2025-01-11 14:00:00
273,667453900,FRA,2025-01-17 22:00:00
274,833151950,LHR,2025-01-02 05:00:00
275,475969840,FRA,2025-01-28 00:00:00
276,567878789,FCO,2025-02-19 10:00:00
277,918329496,FRA,2025-03-01 07:00:00
278,881362159,MXP,2025-01-27 22:00:00
279,892909051,LHR,2025-01-24 11:00:00
280,200501682,ORY,2025-01-17 04:00:00
281,428401781,CDG,2025-02-18 05:00:00
282,763395382,LTN,2025-01-07 03:00:00
283,133175398,LGW,2025-02-12 22:00:00
284,314151745,ORY,2025-01-18 22:00:00
285,573082997,AMS,2025-01-19 19:00:00
286,504589455,FRA,2025-01-15 01:00:00
287,602992189,LTN,2025-02-27 22:00:00
288,777795561,AMS,2025-01-31 11:00:00
289,973245100,LTN,2025-02-16 17:00:00
290,870936057,AMS,2025-01-07 17:00:00
291,994944416,CDG,2025-01-18 23:00:00
292,706305336,ORY,2025-02-26 10:00:00
293,180846294,LHR,2025-01-27 06:00:00
294,877397535,AMS,2025-02-05 04:00:00
295,472264496,FCO,2025-01-15 22:00:00
296,307482405,LTN,2025-01-18 17:00:00
297,954091464,MXP,2025-02-02 14:00:00
298,397558816,FRA,2025-02-03 21:00:00
299,967800724,LHR,2025-01-01 23:00:00
300,167787625,LGW,2025-01-06 01:00:00
301,616110378,LGW,2025-01-16 20:00:00
302,116191987,FRA,2025-02-13 18:00:00
303,283879012,LGW,2025-02-20 09:00:00
304,360458244,LIS,2025-02-01 10:00:00
305,553216196,CDG,2025-01-27 09:00:00
306,274255951,LHR,2025-02-08 09:00:00
307,831511516,LHR,2025-01-01 17:00:00
308,267128235,ORY,2025-01-01 00:00:00
309,917591864,LHR,2025-01-27 21:00:00
310,783643093,MXP,2025-01-30 20:00:00
311,241701837,LGW,2025-02-11 16:00:00
312,269787617,FCO,2025-01-27 07:00:00
313,263250341,AMS,2025-02-25 04:00:00
314,393301379,ORY,2025-02-25 06:00:00
315,453444776,LGW,2025-01-05 19:00:00
316,655376009,CDG,2025-01-24 20:00:00
317,868364482,CDG,2025-01-24 06:00:00
318,983979017,LTN,2025-03-01 22:00:00
319,667229725,LGW,2025-02-25 15:00:00
320,993251855,LGW,2025-01-07 13:00:00
321,513965578,ORY,2025-01-02 04:00:00
322,776385307,LTN,2025-02-04 23:00:00
323,768354326,ORY,2025-01-23 16:00:00
324,237097511,CDG,2025-02-05 21:00:00
325,795507994,FRA,2025-01-14 19:00:00
326,334797944,LGW,2025-02-27 03:00:00
327,175562624,LHR,2025-02-14 10:00:00
328,569680438,LGW,2025-02-16 00:00:00
329,751224627,LHR,2025-01-30 12:00:00
330,541056123,AMS,2025-01-11 03:00:00
331,239541246,LTN,2025-02-04 05:00:00
332,319384784,LHR,2025-02-26 03:00:00
333,705529849,MXP,2025-01-05 10:00:00
334,897191241,LTN,2025-01-07 14:00:00
335,591248519,LHR,2025-01-07 10:00:00
336,170412685,MXP,2025-02-18 20:00:00
337,746358931,AMS,2025-02-08 00:00:00
338,805747298,CDG,2025-02-19 07:00:00
339,586634861,MXP,2025-02-25 20:00:00
340,666051271,CDG,2025-01-22 13:00:00
341,215654940,FRA,2025-01-10 21:00:00
342,610753847,ORY,2025-01-18 19:00:00
343,756825020,LGW,2025-02-10 11:00:00
344,141360162,FRA,2025-01-28 04:00:00
345,859865188,FCO,2025-02-02 15:00:00
346,726969270,LHR,2025-01-17 03:00:00
347,917636454,MXP,2025-01-13 05:00:00
348,447919664,ORY,2025-02-26 18:00:00
349,600722864,LTN,2025-01-24 21:00:00
350,209695196,LHR,2025-01-26 22:00:00
351,882613327,FCO,2025-01-08 14:00:00
352,975851219,MXP,2025-01-10 15:00:00
353,832632781,LIS,2025-02-21 07:00:00
354,934112201,AMS,2025-02-09 14:00:00
355,783832903,CDG,2025-02-14 06:00:00
356,380995421,LTN,2025-01-04 05:00:00
357,909905869,FCO,2025-03-02 09:00:00
358,481599399,FCO,2025-01-12 01:00:00
359,365213170,LHR,2025-02-22 07:00:00
360,341475232,AMS,2025-02-11 17:00:00
361,188535962,ORY,2025-02-01 13:00:00
362,484148588,LGW,2025-02-07 00:00:00
363,169105599,LIS,2025-01-20 02:00:00
364,632543777,FRA,2025-01-11 14:00:00
365,208189573,CDG,2025-01-16 00:00:00
366,656757748,LGW,2025-03-02 12:00:00
367,673889649,AMS,2025-01-29 03:00:00
368,286628850,CDG,2025-01-17 21:00:00
369,393102332,FCO,2025-01-07 05:00:00
370,394142387,FRA,2025-02-07 00:00:00
371,722087235,LHR,2025-01-25 09:00:00
372,179015387,FCO,2025-01-31 01:00:00
373,152277137,FRA,2025-01-27 18:00:00
374,128288422,FRA,2025-01-26 01:00:00
375,346036213,ORY,2025-01-08 16:00:00
376,154287027,LTN,2025-01-24 07:00:00
377,427132808,AMS,2025-02-15 10:00:00
378,505915631,LIS,2025-02-27 08:00:00
379,949817326,LHR,2025-02-15 09:00:00
380,803975678,AMS,2025-01-30 07:00:00
381,942731673,ORY,2025-02-05 01:00:00
382,960614131,FCO,2025-02-28 10:00:00
383,211186785,ORY,2025-02-28 02:00:00
384,513399428,LGW,2025-02-20 18:00:00
385,475430730,FCO,2025-02-25 21:00:00
386,879922182,FCO,2025-01-10 01:00:00
387,106450301,MXP,2025-01-01 12:00:00
388,623083370,LHR,2025-02-08 06:00:00
389,975719670,FRA,2025-02-12 00:00:00
390,563946202,ORY,2025-02-27 17:00:00
391,304117051,ORY,2025-01-24 16:00:00
392,902324866,LHR,2025-01-30 18:00:00
393,497651484,LTN,2025-02-09 19:00:00
394,561343035,LHR,2025-02-07 18:00:00
395,410083004,LIS,2025-01-14 14:00:00
396,112343892,LHR,2025-02-23 20:00:00
397,869526051,FCO,2025-02-17 03:00:00
398,622283915,FCO,2025-01-18 11:00:00
399,727325973,LIS,2025-02-25 08:00:00
400,282774500,LHR,2025-01-24 15:00:00
401,431213412,FCO,2025-02-06 20:00:00
402,298980768,CDG,2025-01-23 05:00:00
403,789936893,LHR,2025-02-13 14:00:00
404,184962154,ORY,2025-02-02 08:00:00
405,367964222,FCO,2025-01-27 10:00:00
406,985209802,FCO,2025-01-23 05:00:00
407,580005415,LGW,2025-01-02 16:00:00
408,826495006,LGW,2025-01-31 00:00:00
409,113475597,LTN,2025-01-10 11:00:00
410,187974184,FCO,2025-01-28 10:00:00
411,898203963,LHR,2025-01-21 16:00:00
412,866408661,FRA,2025-03-01 21:00:00
413,608922567,AMS,2025-01-12 06:00:00
414,805055908,CDG,2025-02-13 21:00:00
415,991995835,CDG,2025-03-02 02:00:00
416,434336770,LGW,2025-02-09 21:00:00
417,312696636,LIS,2025-02-12 23:00:00
418,648353294,LTN,2025-01-07 04:00:00
419,335845525,FCO,2025-02-02 00:00:00
420,769523452,ORY,2025-01-15 20:00:00
421,287109256,ORY,2025-01-06 01:00:00
422,741188380,FRA,2025-01-10 17:00:00
423,624655670,LGW,2025-02-24 14:00:00
424,585829804,CDG,2025-02-18 19:00:00
425,626886972,LIS,2025-03-02 11:00:00
426,809630685,AMS,2025-01-30 05:00:00
427,841413003,LHR,2025-02-20 22:00:00
428,170710557,CDG,2025-02-13 12:00:00
429,109985067,FRA,2025-01-03 03:00:00
430,652991158,FCO,2025-01-07 10:00:00
431,990164081,AMS,2025-01-23 03:00:00
432,241453301,ORY,2025-02-01 20:00:00
433,543424587,CDG,2025-01-15 08:00:00
434,965600667,FRA,2025-01-22 22:00:00
435,224009118,LIS,2025-01-25 07:00:00
436,778555221,LGW,2025-01-11 14:00:00
437,106785964,MXP,2025-01-30 03:00:00
438,464424952,ORY,2025-01-29 11:00:00
439,145350655,LTN,2025-02-05 22:00:00
440,363456597,LHR,2025-03-01 23:00:00
441,164414952,FCO,2025-02-27 20:00:00
442,393358416,LIS,2025-02-20 08:00:00
443,386125552,LGW,2025-01-17 02:00:00
444,275818771,FRA,2025-01-27 17:00:00
445,858278278,AMS,2025-01-15 09:00:00
446,924631736,FCO,2025-01-23 05:00:00
447,541612621,FCO,2025-01-09 11:00:00
448,481651487,ORY,2025-01-30 18:00:00
449,851951052,LGW,2025-02-14 17:00:00
450,432567309,LIS,2025-01-02 22:00:00
451,609071083,FRA,2025-01-18 14:00:00
452,534268590,AMS,2025-02-21 08:00:00
453,826463679,LTN,2025-01-08 09:00:00
454,983777921,FCO,2025-01-06 07:00:00
455,628781894,LTN,2025-02-17 06:00:00
456,931018564,LHR,2025-02-05 09:00:00
457,879636508,FRA,2025-01-13 20:00:00
458,647550785,FRA,2025-01-16 16:00:00
459,488039074,FRA,2025-02-08 10:00:00
460,248068761,LIS,2025-01-05 15:00:00
461,738222674,AMS,2025-01-29 16:00:00
462,349765249,LHR,2025-02-26 15:00:00
463,224547909,LIS,2025-01-14 18:00:00
464,536429396,ORY,2025-02-06 10:00:00
465,784367676,FRA,2025-02-08 16:00:00
466,986719725,FRA,2025-02-22 03:00:00
467,428552897,CDG,2025-01-14 21:00:00
468,864680678,LGW,2025-02-16 13:00:00
469,808257579,CDG,2025-02-09 14:00:00
470,923793201,FRA,2025-01-22 03:00:00
471,933543221,LIS,2025-01-26 18:00:00
472,619605036,FCO,2025-01-11 20:00:00
473,575845245,LGW,2025-02-06 20:00:00
474,781359397,LTN,2025-01-15 22:00:00
475,856769919,CDG,2025-02-18 03:00:00
476,831977212,LTN,2025-02-17 18:00:00
477,200476097,FCO,2025-01-21 09:00:00
478,244698705,FRA,2025-01-25 09:00:00
479,403402242,LHR,2025-01-30 01:00:00
480,974930538,LHR,2025-02-13 05:00:00
481,661496258,LGW,2025-02-13 05:00:00
482,124190332,CDG,2025-01-12 23:00:00
483,174081866,FRA,2025-02-08 18:00:00
484,874025084,MXP,2025-01-05 12:00:00
485,285070853,MXP,2025-02-14 13:00:00
486,522109751,MXP,2025-02-13 13:00:00
487,765593081,MXP,2025-03-01 05:00:00
488,256061190,ORY,2025-01-29 09:00:00
489,597294671,MXP,2025-01-09 15:00:00
490,196648945,FCO,2025-01-11 18:00:00
491,666662748,LIS,2025-02-19 06:00:00
492,285044588,ORY,2025-01-25 22:00:00
493,282283290,LGW,2025-02-12 04:00:00
494,319226282,MXP,2025-01-09 23:00:00
495,900093308,FRA,2025-02-24 20:00:00
496,138911407,FCO,2025-01-09 15:00:00
497,785529043,FRA,2025-02-26 09:00:00
498,506285377,LTN,2025-02-06 14:00:00
499,243652670,AMS,2025-01-08 13:00:00
500,667839523,LHR,2025-02-13 19:00:00
501,893344548,MXP,2025-02-06 12:00:00
502,105074289,LGW,2025-02-10 11:00:00
503,270687545,FRA,2025-02-20 04:00:00
504,932380533,LGW,2025-01-11 11:00:00
505,980162605,AMS,2025-02-11 16:00:00
506,375105489,CDG,2025-02-25 18:00:00
507,467794765,LTN,2025-02-03 09:00:00
508,467580380,FCO,2025-02-15 15:00:00
509,504304258,LTN,2025-02-23 11:00:00
510,780292598,FRA,2025-01-19 02:00:00
511,576487205,LGW,2025-02-19 16:00:00
512,422095172,MXP,2025-01-07 13:00:00
513,959220985,LTN,2025-01-15 17:00:00
514,950923845,FCO,2025-01-26 03:00:00
515,533803338,ORY,2025-01-31 02:00:00
516,897208617,FRA,2025-02-24 04:00:00
517,477365634,CDG,2025-02-12 00:00:00
518,167254385,LHR,2025-01-31 12:00:00
519,660276474,FCO,2025-02-19 05:00:00
520,356430656,ORY,2025-02-15 11:00:00
521,810473553,ORY,2025-01-10 01:00:00
522,647790697,ORY,2025-02-13 11:00:00
523,482658790,AMS,2025-03-01 07:00:00
524,506385313,LIS,2025-01-19 21:00:00
525,908511095,FCO,2025-02-02 05:00:00
526,161000411,CDG,2025-01-27 13:00:00
527,391094330,LHR,2025-01-14 03:00:00
528,387245912,FCO,2025-01-20 22:00:00
529,684597515,FRA,2025-02-15 00:00:00
530,818686206,AMS,2025-02-26 23:00:00
531,106074974,LTN,2025-01-18 01:00:00
532,799471662,FRA,2025-01-18 14:00:00
533,154651666,LIS,2025-01-10 14:00:00
534,591750157,LHR,2025-01-01 06:00:00
535,717783024,LHR,2025-01-21 13:00:00
536,442728998,AMS,2025-02-11 14:00:00
537,288088452,FCO,2025-02-23 17:00:00
538,479351078,FCO,2025-01-03 03:00:00
539,285180920,LGW,2025-01-20 13:00:00
540,638310755,ORY,2025-02-02 14:00:00
541,655857145,FCO,2025-01-06 16:00:00
542,593143173,LGW,2025-02-10 02:00:00
543,504506461,CDG,2025-01-09 11:00:00
544,210822825,LGW,2025-01-19 06:00:00
545,704660894,LIS,2025-01-01 18:00:00
546,129190523,ORY,2025-02-25 18:00:00
547,817348047,LHR,2025-02-18 14:00:00
548,826977944,LGW,2025-03-02 04:00:00
549,952599756,FRA,2025-01-20 12:00:00
550,557138609,CDG,2025-01-12 10:00:00
551,801724475,MXP,2025-01-20 21:00:00
552,946472486,LIS,2025-01-17 21:00:00
553,941436011,CDG,2025-01-26 14:00:00
554,442727286,MXP,2025-02-24 14:00:00
555,504416763,ORY,2025-02-07 14:00:00
556,889631315,LTN,2025-01-13 22:00:00
557,773882641,FCO,2025-02-10 02:00:00
558,849425482,AMS,2025-02-10 13:00:00
559,239782630,LHR,2025-02-05 20:00:00
560,247176433,FRA,2025-01-30 07:00:00
561,363998682,LGW,2025-02-04 05:00:00
562,892995406,LHR,2025-02-10 11:00:00
563,135291917,MXP,2025-01-09 05:00:00
564,315596221,FCO,2025-01-19 14:00:00
565,301010996,LGW,2025-01-30 23:00:00
566,847925425,LGW,2025-02-25 04:00:00
567,211104009,ORY,2025-02-15 00:00:00
568,420297657,LTN,2025-01-22 23:00:00
569,479839356,ORY,2025-01-23 16:00:00
570,703407762,LIS,2025-01-28 08:00:00
571,272136412,LGW,2025-01-27 02:00:00
572,327935007,LHR,2025-01-29 16:00:00
573,822583258,LGW,2025-02-09 01:00:00
574,662461723,FRA,2025-02-16 17:00:00
575,692819906,FCO,2025-02-19 16:00:00
576,589636511,CDG,2025-02-03 03:00:00
577,987295064,LIS,2025-01-15 07:00:00
578,134023399,AMS,2025-02-28 23:00:00
579,994008850,FRA,2025-01-02 15:00:00
580,922226744,LTN,2025-01-11 11:00:00
581,437277404,AMS,2025-02-09 07:00:00
582,707470012,MXP,2025-01-06 12:00:00
583,816165919,LIS,2025-01-30 20:00:00
584,558492417,MXP,2025-01-10 00:00:00
585,461417846,LHR,2025-01-13 05:00:00
586,120844676,LGW,2025-02-03 16:00:00
587,533042332,LGW,2025-02-17 01:00:00
588,869264520,CDG,2025-02-24 03:00:00
589,495652842,MXP,2025-01-24 22:00:00
590,868776564,LTN,2025-02-12 00:00:00
591,534055792,CDG,2025-02-04 10:00:00
592,542039276,FCO,2025-02-28 07:00:00
593,836401134,AMS,2025-02-03 04:00:00
594,930529952,FCO,2025-03-01 10:00:00
595,636663778,MXP,2025-01-09 20:00:00
596,644684851,AMS,2025-02-13 00:00:00
597,591003195,LGW,2025-02-18 04:00:00
598,131120806,LTN,2025-01-05 15:00:00
599,180939002,LHR,2025-02-19 03:00:00
600,704750321,FRA,2025-01-04 23:00:00
601,987033789,LGW,2025-02-22 00:00:00
602,115198538,LHR,2025-01-12 22:00:00
603,180747541,AMS,2025-01-15 11:00:00
604,978892711,LTN,2025-01-05 00:00:00
605,263837903,CDG,2025-02-09 00:00:00
606,844548609,CDG,2025-02-13 21:00:00
